Abdominoplasty,[]
Rheumatology,"['Facioscapulohumeral Muscular Dystrophy', 'Myositis', 'Systemic lupus erythematosus', 'Joint pains', 'Vasculitis Treatment', 'Arthritis Management', 'Systemic Lupus Erythematosis', 'Lupus', 'Rheumatic Arthritis', 'Psoriatic Arthritis', 'Articular Pain Treatment', 'Mixed connective tissue disease', 'Gout', 'Systemic Sclerosis (Scleroderma)', 'Systemic Lupus Erythematosus (SLE) Treatment', 'Ankylosing Spondylitis', 'Spondylitis', 'Rheumatism Treatment', 'Arthritis', 'Fibromyalgia Treatment', 'Polymyalgia Rheumatica And Giant Cell Arteritis', ""Paget's Disease Of Bone"", 'Joint Pain', 'Ankylosing Spondylitis Treatment', 'Gout Treatment']"
Rhinology,[]
Rhinoplasty,[]
Saloon,[]
Sexology,"['Piles Treatment', 'TREATMENT FOR DEPRESSION', 'Sex counselling', 'Pain in Left part of Chest', 'pre marital counseling', 'Obsessive Compulsive Disorder (OCD) Counselling', 'Penile warts', 'Alcohol Addiction', 'Treatment Of Erectile Dysfunction', 'Thyroidectomy', 'Paralysis', 'Stress', 'Sexologist Doctor for Male', 'Male Sexual Problems', 'Meditation', 'Urine Infection', 'Skin Tag Treatment', 'Sexual Weakness', 'Skin Care', 'Couple counseling', 'All Sexual Disorders', 'Acne', 'Emotional Outbursts', 'Njavarakizhi', 'Heart Conditions', 'Joint Mobilization', 'Eyes Diseases', 'Treatment of Stress', 'Ankylosing Spondylitis Treatment', 'Anger Management', 'Gastritis', 'Colds', 'Ulcers & Rashes on penis', 'Back Pain Treatment', 'Skin diseases/ Psoriasis', 'Lung Infections Treatment', 'Sexual Disorders', 'Coughing', 'Ulcerative Colitis', 'Delayed Ejaculation', 'Skin Disease Treatment', 'Hair Disease', 'STIs', 'Foreskin tight', 'Sex Problems', 'HIV AIDS', 'Detoxification', 'Genital Sores', 'Sexual Therapy', 'Gastritis Treatment', 'Systemic Lupus Erythematosus (SLE) Treatment', 'Leg Pain', 'Obsessive Compulsive Disorder (OCD) Treatment', 'Body Weakness', 'Delayed orgasm', 'GERD', 'Treatment of Phymosis', 'Knee Pain Treatment', 'Anxiety And Depression', 'Sex fitness check up', 'Corn Removal', 'Sex therapy', 'Sexual anxiety', 'Constipation', 'STD check up & Treatment', 'Phymosis & paraphymosis', 'Acidity', 'Couple therapy', 'Ayurvedic Treatment', 'Type 2 Diabetes Treatment', 'Gastric Trouble', 'Bronchitis', 'Family Planning', 'Infertility', 'Lower Back Pain', 'Sleep Disorder Treatment', 'Genital Warts', 'Cervical Spondylosis', 'Knee care', 'Low Sperm Count', 'Marital Problems', 'Geriatric Healthcare', 'Headache', 'Married couple guidance', 'Erection Problems', 'Hyersexuality', 'Back Pain', 'Ayurvedic Clinics', 'Performance Anxeity', 'Masturbation Addiction', 'Fertility Treatment', 'Female Sexual Problems', 'Gastric Disorders', 'Male Problems', 'Premature Ejaculation', 'Diabetes Induced Erectile Dysfunction', 'Running Nose', 'Breathing Problems', 'AYURVEDIC TREATMENTS FOR ALL AILMENTS AND WELLNESS PROGRAMS', 'Low Sperm Count/ Erectile Dysfunction/ Early Discharge', 'Personality Assessment', 'Night follow', 'Scar Treatment', 'Impotency Doctor', 'Couples Therapy', 'Skin Rash Treatment', 'Stomach Pain', 'Loss of Libido', 'Penis size issues', 'Urinary Tract Infection (UTI)', 'Bronchial Asthma Treatment', ' STRESS & STRAIN', 'Piles Treatment (Non Surgical)', 'Yoga Therapy', 'Labido(Reduce Sexual Desire) in Male and Femail', 'Urinary Incontinence (Ui) Treatment', 'Pre Marital Problems', 'Personal development', 'Joint Pain', 'Weight Loss', 'Neck Pain Treatment', 'General Medical Consultation', 'Orthopedic physical therapy', 'Vasthi', 'Genital Injury', 'Gastroscopy']"
Somnology,[]
Sonology,[]
Spa Therapy,[]
Speech Therapy,[]
Spine Surgery,"['Joint and Muscle Problems', 'Knee Pain Treatment', 'Spinal Diseases', 'Muscle release', 'Brain Arteriovenous Fistula Embolization', 'Nerve Repair', 'Brain Tumor', 'Shoulder Pain', 'Spine Surgery', 'Disc Prolapse', 'Epilepsy surgery', 'Lumbar Spinal Stenosis', 'Neck Pain', 'Knee Pain', 'Spinal Fusion', 'Bone Trauma', 'Heel Pain', 'Ligament Reconstruction', 'Lower Back Pain Treatment', 'Spinal Cord Injury Treatment', 'Hip Pain', 'Hand Pain Treatment', 'Muscular Diseases', 'Scoliosis Correction', 'Sciatica', 'Orthopedic Consultation', 'Fracture Treatment', 'Spinal deformity correction surgery', 'Upper Back Pain', 'Neuromuscular Disorders', 'Bone Fracture', 'Lower Back Pain', 'Cervical Problem', 'Achilles Tendon Rupture Treatment', 'Foot Injuries', 'Epilepsy Surgery', 'Disc Herniation / Extrusion /Prolapse – Slip Disc', 'Neuro-Oncological Surgery', 'Slip Disc', 'Knee care', 'Trigeminal Neuralgia', 'Elbow Pain', 'Peripheral Neuro surgery', 'Brain & Spine Tumours', 'Nerve Graft', 'Leg Pain', 'Elbow Injury', 'Physiotherapy for Sports Injury Rehabilitation', 'Foot Pain', 'Spine', 'Finger Pain', 'Foot & Ankle', 'Arthroscopy', 'Spinal Surgery', 'Joint Mobilization', 'Joint Pain', 'Brain infection', 'Craniotomy', 'Cervical Traction', 'Neck Pain Treatment', 'Wrist problems', 'deformities', 'Sacrectomy', 'Spondylosis', 'Rotator Cuff Injury Treatment', 'Orthopedic Physiotherapy', 'Ankle Pain', 'Knee Osteotomy', 'Total Knee Replacement', 'Ligament and Tendon Repair', 'Lumbar Puncture', 'Spinal Truma']"
Sports And Musculoskeletal Physiotherapy,"[' Ankle', 'Arthritis And Pain Management Treatment', 'Back Pain Physiotherapy', 'Neck Pain Physiotherapy', 'Muscular Injuries', 'Shoulder Pain', 'Rheumatoid Arthritis Physiotherapy', 'Soft Tissue Injury Management', 'Neck Pain', 'spinal alignment', 'Shoulder Injuries', 'Soft Tissue Mobilization', ' Knee Injury', 'Sports Massage Therapy', 'Buttock Pain', 'Knee Injuries', 'IFT', 'Home Care Physiotherapy', 'Iliotibial Band Friction Syndrome', 'Ultrasonic Physiotherapy', 'Vertigo management', 'Hip', 'Post Surgery Physiotherapy/Rehabilitation', 'Knee Pain Physiotherapy', 'Physiotherapy for Osteoarthritis of Knee and Hip', 'Frozen shoulder Physiotherapy', 'Hand Pain', 'Interferential Therapy', 'Musculoskeletal Injury Physiotherapy', 'Calf Strains', 'Cervical Spondylosis Physiotherapy', 'Cupping Therapy', 'Electrical Stimulation', ""Parkinson's Disease Physiotherapy/Rehabilitation"", 'Sports Fracture Rehabilitation', 'painful feet', 'Acupuncture', 'Sports Injuries Rehabilitation', 'Pediatric Physiotherapy', 'Neuro Physiotherapy', 'Hand And Wrist Injuries', 'Back Pain', 'Deep Tissue Release Therapy', 'Physiotherapy Rehab', 'Ankylosing Spondylitis Physiotherapy', 'Strains And Sprains']"
Sports Medicine Physician,[]
Sports Medicine Surgery,[]
Sports Medicine Nutrition,[]
Sports Nutrition,"['Diet for a Healthy Skin', 'Diabetic Diet Counseling', 'Back Pain Treatment', 'Diets in metabolic disorder', 'Guidance Lifestyle', 'Sports nutrition', 'Behavioral Nutrition', 'Post Covid Nutrition Plan', 'Pre and Post Dialysis', 'Vitamin Deficiency', 'Healthy Heart Diet', 'PCOD/ PCOS Diet Counselling', 'Diet Counseling', 'Difficulty Sleeping', 'PCOD', 'Slimming', 'Acidity', 'Diet in liver & Kidney Disorders', 'High Cholesterol Diet Counselling', 'Weight Management', 'Diet in Pregnancy/ Post Delivery', 'Weight Loss Treatment', 'Weight Management Counseling', 'Obesity Treatment', 'Diet Therapy', 'Diet For Kids', 'Medical Nutrition Therapy', 'Chronic Fatigue Syndrome', 'Acne', 'Diet Counselling', 'Yoga Therapy', 'Health Checkup (General)', 'Ulcers', 'Personal Diets', 'Naturpathy', 'Excercise Therapy', 'Obesity and other Lifestyle Disease Modifications', 'Coaching for Weight Loss', 'Obesity', 'Allergies', 'Weight Loss Diets (man)', 'Joint Pain', 'Underweight', 'Weight Loss Diet Counseling', 'Weight Management diet - Overweight & Underweight', 'Nutritional education', 'Diabetes type 1 and type 2', 'Gynecology', 'Ketogenic diet', 'Gym Diets', 'High Protein Diets', 'Weight Gain Diet Counseling', 'Thyroid Diet Counseling']"
Surgical Oncology,"['Thyroid cancer Treatment', 'Cervical Cancer', 'Oral Cancer', 'Oral Cancer Treatment', 'Lung Cancer', 'Endosurgery', 'Breast Surgery', 'Stomach cancer Treatment', 'Renal cell cancer', 'Head & Neck Cancer Treatment', 'Renal Cell Carcinoma', 'Chest Cancer Treatment', 'Li-Fraumeni Syndrome', 'Lumpectomy', 'Carcinoma', 'Bone Tumors', 'Cancer Treatment', 'Robotic Surgery', 'Tumor Celar', 'Cancer Surgery', 'Breast Cancer', 'Hormone Therapy For Breast Cancer', 'Rectum cancer Treatment', 'Laparoscopic Cholecystectomy', 'Acute Myeloid Leukemia', 'Breast Lump Treatment', 'Leukemia', 'Thyroid Cancer', 'Cancer Screening (Preventive)', 'Chemotherapy', 'Stomach Pain', 'Esophageal Cancer', 'Tumor Resection & Reconstruction', 'Breast Cancer Treatment', 'Mastectomy', 'Diabetic Foot Treatment/Surgery', 'Cancer Screening', 'Tumors', 'Tumors And Cysts', 'Hormone Therapy For Prostate Cancer', 'Benign Tumors', 'Thyroid Surgery', 'Gynecological Cancer Treatment', 'Cold', 'Enlarged Lymph Nodes', 'Breast Reconstruction', 'Basal Cell Carcinoma', 'Minor Surgery', 'Colon Cancer', 'breast fibroadenoma surgery', 'Brain cancer Treatment', 'Throat Cancer', 'Liver cancer Treatment', 'Pancreas cancer Treatment', 'Treatment of Ovarian Cancer']"
Thighplasty Thigh Lift,[]
Thoracic Chest Surgery,[]
Total Joint Surgery,[]
Transplant Surgery,[]
Trichology,"['HAIR CARE SERVICES', 'Contact Dermatitis', 'PRP for hair loss', ' Age Spots', 'Peel', 'Clinical Dermatology and Skin Care', ' acne', 'Adiana System', 'Dermatophytosis', 'Laser therapy', 'Sun Spots', 'Hair Loss Treatment', 'Laser Surgery', 'Acne Scars', 'Cysts', 'Fillers', 'Skin Tag Treatment', 'Hair Growth Treatment', 'Skin Care', 'Tattoo Removal', 'Whiteheads', 'Acne', 'Greying Hair', 'skin disesse', 'Hair Replacement', 'Acne/ Pimple Scars Treatment', 'Line and Wrinkle Smoothing', 'Skin Disorder', 'Hair Loss', 'PRP ( PLATELET RICH PLASMA ) for Hair Thinning', 'FACELIFT', 'Androgenic alopecia', 'Chemical Peel', 'ringwo', 'Skin Infections', 'Glycolic Peel', 'Dermaroller', 'Medical Vitiligo Treatment', 'Herpes Infections', 'Allergy Treatment', 'Hair Transplant Surgery', 'Molluscum Removal', 'Skin Disease Treatment', 'pimples', 'Acne / Pimples Treatment', 'PRP for Hairfall', 'Scarred Skin', 'Hair Disease', 'Blackheads', 'Dermatologic Surgery Small', 'Skin Whitening Treatment', 'Alopecia Universalis', 'Nail Disorders', 'Keloid Treatment', 'Pimple Free Treatments', 'Alopecia Areta Treatment', 'Chemical peel of skin', 'Chronic Skin Allergy', 'Peels for glow', 'FUT Hair Transplant', 'Oily Hair', 'Hair Removal Treatment', 'Dandruff', 'Seborrheic Dermatitis', 'Sun Burn Treatment', 'Skin Hydration', 'Scalp Treatment', 'Wrinkles', 'Anti Aging Treatment', 'Low Level Laser Therapy', 'FUE Scar Less Method', 'PRP Hair Transplantation', 'Nail Surgery', 'Ear & Nose Piercing', 'Corn Removal', 'Wart Removal and Mole removal', 'Scalp Micropigmentation (SMP)', 'Wart Removal', 'Melasma Treatment', 'Skin Whiting', 'Stretch Marks Treatment', 'Baldness Treatment', 'Skin Cancer Screening', 'Dermabrasion', 'Mesotherapy', 'Dermatitis Treatment', 'Fungal Infection', ' And Other Pigmented Lesions', 'Keratosis', 'Open Pores', 'Hair Mesotherapy', 'Psoriasis Treatment', 'Vitiligo', ' Lasers', 'Hair Regrowth', 'Biofibre Hair Implant', 'Skin Allergy Treatment', 'hyperpigmentation', 'Tinea Versicolor Treatment', 'Dandruff Treatment', 'Hair Restoration', 'Pigmented Skin', 'Skin Needling', 'Broken Nails', 'Eczema', 'Dermatology Services', 'PRP for Hair Loss', 'Chemical Peels', 'Rashes', 'Bacterial Skin Infection Treatment', 'Skin Pulse Treatment', 'Androgenetic Alopecia treatment', 'Itching', 'Hair Weaving & Bonding', 'Nail Diseases Treatment', 'Fungal Infection Treatment', 'Removal of Moles', 'Leucoderma Treatment', 'Earlobe Repair', 'Fractional Skin Rejuvenation', 'Skin Tags Removal', 'Skin Treatment', 'Cosmetic Treatments', 'Atopic Dermatitis Treatment', 'Skin Pigmentation', 'Ear Repair', 'Baldness', 'Scar Treatment', 'Phototherapy', 'Salicyclic Peel', ' Hair & Nail Analysis', 'Psoriasis', 'Hyper Pigmentation Treatment', ' Polishing', 'Skin Rash Treatment', 'Facial Rejuvenation Treatment', 'Hair Patch', 'dandruff', 'Pigmentation Removal', 'Pseudofolliculitis Barbae', 'Hair Transplant', 'Skin Conditions', 'Skin', 'Laser Hair Removal - Face', 'Female Hair Loss', 'skin checks', 'FUE Hair Transplant', 'Warts', 'Dermoscopy', 'PRP Treatment', 'Rosacea']"
Ultrasonology,"['Anomaly Scan', 'Ultrasound/Ultrasonography', 'Ultrasound of abdomen & pelvis', 'Gynec sonography', 'Breast ultrasound', 'Early Pregnancy Scan']"
Unani,"['Sex fitness check up', 'Premature Ejaculation', 'Sex therapy', 'Jet Lag Relief', 'Sexual anxiety', 'Sex counselling', 'kidney and gall bladder stones', 'Sexual Disorders', 'Dengue', 'Sinusitis', 'Sexologist Doctor for Male', 'Outpatient treatment', 'Couples Therapy', 'Ladies Problems', 'Diabetes Treatment', 'Sexual Weakness', 'Penis size issues', 'Sexual Therapy', 'Body Weakness', 'Obesity', 'Erection Problems', 'Fever', 'Treatment of Stress']"
Upper Gastro Intestinal Surgery,[]
Vascular Surgery,"['Aortic Anuerysm Surgery / Endovascular Repair', 'Coronary Artery Bypass Surgery(CABG)', 'Venous Ulcer', 'Open Heart Surgery', 'Cardiac and Thoracic Surgery', 'Varicose veins', 'Intra - Arterial Thrombolysis', 'Vascular Surgery', 'Carotid Artery Disease', 'Arthritis and Pain Management', 'Varicose Veins Treatment', 'Endovascular Interventions', 'Body Ache']"
Venereology,"['HAIR CARE SERVICES', 'Contact Dermatitis', ' Age Spots', 'Peel', 'Clinical Dermatology and Skin Care', ' acne', 'Photofacial', 'Birthmarks', 'PRP( platelet rich plasma)', 'Microdermabrasion', 'Dermatophytosis', 'Laser therapy', 'Sun Spots', 'Hair Loss Treatment', 'Laser Surgery', 'Acne Scars', 'Cysts', 'Fillers', 'Skin Tag Treatment', 'Skin Care', 'Tattoo Removal', 'Acne', 'Hair Replacement', 'Acne/ Pimple Scars Treatment', 'Line and Wrinkle Smoothing', 'Skin Disorder', 'Hair Loss', 'PRP ( PLATELET RICH PLASMA ) for Hair Thinning', 'Androgenic alopecia', 'Chemical Peel', 'Skin Infections', 'Glycolic Peel', 'Eyelid Rejuvenation', 'Herpes Infections', 'Dark Circle Removal', 'Hair Transplant Surgery', 'Molluscum Removal', 'Skin Disease Treatment', 'pimples', 'Acne / Pimples Treatment', 'Scarred Skin', 'Hair Disease', 'Blackheads', 'Dermatologic Surgery Small', 'Skin Whitening Treatment', 'Alopecia Universalis', 'Nail Disorders', 'Keloid Treatment', 'Alopecia Areta Treatment', 'Chronic Skin Allergy', 'Peels for glow', 'FUT Hair Transplant', 'Oily Hair', 'Hair Removal Treatment', 'Dandruff', 'Seborrheic Dermatitis', 'Co2 Fractional', 'Mohs Surgery', 'Anti Aging Treatment', 'Low Level Laser Therapy', 'PRP Hair Transplantation', 'Nail Surgery', 'Wart Removal and Mole removal', 'Corn Removal', 'Ear & Nose Piercing', 'Scalp Micropigmentation (SMP)', 'Wart Removal', 'Melasma Treatment', 'Stretch Marks Treatment', 'Baldness Treatment', 'Skin Cancer Screening', 'Dermabrasion', 'Dermatitis Treatment', 'Fungal Infection', ' And Other Pigmented Lesions', 'Keratosis', 'Hair Mesotherapy', 'Psoriasis Treatment', ' Lasers', 'Hair Regrowth', 'Biofibre Hair Implant', 'Skin Allergy Treatment', 'hyperpigmentation', 'Fractional Laser', 'Dandruff Treatment', 'Hair Restoration', 'Pigmented Skin', 'Skin Needling', 'Eczema', 'Dermatology Services', 'PRP for Hair Loss', 'Hair Fringes', 'Chemical Peels', 'Rashes', 'Bacterial Skin Infection Treatment', 'Skin Pulse Treatment', 'Androgenetic Alopecia treatment', 'Skin Whitening', 'Itching', 'Hair Weaving & Bonding', 'Fungal Infection Treatment', 'Pigmentation Treatment', 'Removal of Moles', 'Leucoderma Treatment', 'Non Cancerous Moles', 'Skin Treatment', 'Atopic Dermatitis Treatment', 'Baldness', 'Scar Treatment', 'Phototherapy', 'Salicyclic Peel', ' Hair & Nail Analysis', 'Psoriasis', 'Laser Hair Removal', 'Botox Injections', 'Fat Injections (Transplant)', 'Hyper Pigmentation Treatment', ' Polishing', 'Skin Rash Treatment', 'Facial Rejuvenation Treatment', 'Hair Patch', 'Pigmentation Removal', 'Hair Transplant', 'Skin Conditions', 'Skin', 'Female Hair Loss', 'Laser Hair Removal - Face', 'skin checks', 'FUE Hair Transplant', 'Dull Skin', 'Warts', 'Dermoscopy', 'Skin Rejuvenation', 'PRP Treatment', 'Scalp Treatment']"
Veterinary Toxicology,[]
Veterinary Surgery,"['Foot Injury Treatment', 'pet vaccination', 'Veterinary Treatment', 'Pet Grooming', 'Hip Pain', 'Hip Pain Treatment', 'Veterinary Services', 'Surgical Procedures']"
Wellness,[]
Yoga,[]
